municipality,category,value,type
Северное Тушино,Социальная политика,1.1,expenses
Северное Тушино,Средства массовой информации,0.1,expenses
Северное Тушино,Расходы: итого,12.2,expenses
Северный,Налоговые доходы,8.3,income
Северный,Неналоговые доходы,0,income
Северный,Безвозмездные поступления,1.1,income
Северный,Доходы: итого,9.4,income
Северный,Общегосударственные вопросы,7.1,expenses
Северный,"Культура, кинематография",0.4,expenses
Северный,Социальная политика,1.2,expenses
Северный,Средства массовой информации,0.1,expenses
Северный,Расходы: итого,8.8,expenses
Силино,Налоговые доходы,6.5,income
Силино,Неналоговые доходы,0.01,income
Силино,Безвозмездные поступления,1.1,income
Силино,Доходы: итого,7.6,income
Силино,Общегосударственные вопросы,9.2,expenses
Силино,"Культура, кинематография",0.3,expenses
Силино,Социальная политика,1.2,expenses
Силино,Средства массовой информации,0.3,expenses
Силино,Расходы: итого,10.9,expenses
Сокол,Налоговые доходы,7.2,income
Сокол,Неналоговые доходы,0.01,income
Сокол,Безвозмездные поступления,15.1,income
Сокол,Доходы: итого,22.3,income
Сокол,Общегосударственные вопросы,11.1,expenses
Сокол,"Культура, кинематография",4.3,expenses
Сокол,Социальная политика,0.3,expenses
Сокол,Физическая культура и спорт,2.6,expenses
Сокол,Средства массовой информации,0.2,expenses
Сокол,Расходы: итого,18.5,expenses
Соколиная гора,Налоговые доходы,7.2,income
Соколиная гора,Неналоговые доходы,0,income
Соколиная гора,Безвозмездные поступления,1.3,income
Соколиная гора,Доходы: итого,8.5,income
Соколиная гора,Общегосударственные вопросы,7.5,expenses
Соколиная гора,"Культура, кинематография",0.3,expenses
Соколиная гора,Социальная политика,0.1,expenses
Соколиная гора,Средства массовой информации,0.3,expenses
Соколиная гора,Расходы: итого,8.2,expenses
Сокольники,Налоговые доходы,7.7,income
Сокольники,Неналоговые доходы,0,income
Сокольники,Безвозмездные поступления,1.1,income
Сокольники,Доходы: итого,8.8,income
Сокольники,Общегосударственные вопросы,6.3,expenses
Сокольники,Образование,0.5,expenses
Сокольники,"Культура, кинематография",1.4,expenses
Сокольники,Социальная политика,1.8,expenses
Сокольники,Средства массовой информации,0.4,expenses
Сокольники,Расходы: итого,10.4,expenses
Солнцево,Налоговые доходы,8,income
Солнцево,Неналоговые доходы,0.02,income
Солнцево,Безвозмездные поступления,1.1,income
Солнцево,Доходы: итого,9.1,income
Солнцево,Общегосударственные вопросы,9.1,expenses
Солнцево,"Культура, кинематография",0.9,expenses
Солнцево,Социальная политика,0.7,expenses
Солнцево,Средства массовой информации,0.3,expenses
Солнцево,Расходы: итого,11,expenses
Старое Крюково,Налоговые доходы,6.5,income
Старое Крюково,Неналоговые доходы,0.03,income
Старое Крюково,Безвозмездные поступления,1.1,income
Старое Крюково,Доходы: итого,7.6,income
Старое Крюково,Общегосударственные вопросы,6.7,expenses
Старое Крюково,"Культура, кинематография",0.3,expenses
Старое Крюково,Социальная политика,0.3,expenses
Старое Крюково,Средства массовой информации,0.2,expenses
Старое Крюково,Расходы: итого,7.6,expenses
Строгино,Налоговые доходы,10.3,income
Строгино,Неналоговые доходы,0.1,income
Строгино,Безвозмездные поступления,27.2,income
Строгино,Доходы: итого,37.6,income
Строгино,Общегосударственные вопросы,15.2,expenses
Строгино,"Культура, кинематография",2.6,expenses
Строгино,Социальная политика,1,expenses
Строгино,Физическая культура и спорт,8.2,expenses
Строгино,Средства массовой информации,0,expenses
Строгино,Расходы: итого,27,expenses
Теплый Стан,Налоговые доходы,7.7,income
Теплый Стан,Неналоговые доходы,0.1,income
Теплый Стан,Безвозмездные поступления,1.7,income
Теплый Стан,Доходы: итого,9.6,income
Теплый Стан,Общегосударственные вопросы,6.6,expenses
Теплый Стан,"Культура, кинематография",2.7,expenses
Теплый Стан,Социальная политика,0.8,expenses
Теплый Стан,Средства массовой информации,0.5,expenses
Теплый Стан,Расходы: итого,10.5,expenses
Таганский,Налоговые доходы,8.6,income
Таганский,Неналоговые доходы,0,income
Таганский,Безвозмездные поступления,1.7,income
Таганский,Доходы: итого,10.3,income
Таганский,Общегосударственные вопросы,7.5,expenses
Таганский,"Культура, кинематография",0.7,expenses
Таганский,Социальная политика,0.6,expenses
Таганский,Средства массовой информации,0.3,expenses
Таганский,Расходы: итого,9.1,expenses
Тверской,Налоговые доходы,7.4,income
Тверской,Неналоговые доходы,0,income
Тверской,Безвозмездные поступления,1.3,income
Тверской,Доходы: итого,8.8,income
Тверской,Общегосударственные вопросы,8.7,expenses
Тверской,"Культура, кинематография",0.4,expenses
Тверской,Социальная политика,0.3,expenses
Тверской,Расходы: итого,9.4,expenses
Текстильщики,Налоговые доходы,10.3,income
Текстильщики,Неналоговые доходы,0,income
Текстильщики,Безвозмездные поступления,1.2,income
Текстильщики,Доходы: итого,11.6,income
Текстильщики,Общегосударственные вопросы,6,expenses
Текстильщики,"Культура, кинематография",0.4,expenses
Текстильщики,Социальная политика,0.6,expenses
Текстильщики,Средства массовой информации,0.2,expenses
Текстильщики,Расходы: итого,7.1,expenses
Тимирязевский,Налоговые доходы,8.2,income
Тимирязевский,Неналоговые доходы,0.01,income
Тимирязевский,Безвозмездные поступления,23.1,income
Тимирязевский,Доходы: итого,31.2,income
Тимирязевский,Общегосударственные вопросы,13.9,expenses
Тимирязевский,"Культура, кинематография",4.9,expenses
Тимирязевский,Социальная политика,0.5,expenses
Тимирязевский,Физическая культура и спорт,6.2,expenses
Тимирязевский,Средства массовой информации,0.2,expenses
Тимирязевский,Расходы: итого,25.6,expenses
Тропарево-Никулино,Налоговые доходы,7.5,income
Тропарево-Никулино,Неналоговые доходы,0,income
Тропарево-Никулино,Безвозмездные поступления,1.3,income
Тропарево-Никулино,Доходы: итого,8.9,income
Тропарево-Никулино,Общегосударственные вопросы,7,expenses
Тропарево-Никулино,"Культура, кинематография",1.4,expenses
Тропарево-Никулино,Социальная политика,0.4,expenses
Тропарево-Никулино,Средства массовой информации,0.1,expenses
Тропарево-Никулино,Расходы: итого,8.9,expenses
Филевский парк,Налоговые доходы,7.8,income
Филевский парк,Неналоговые доходы,0,income
Филевский парк,Безвозмездные поступления,1.3,income
Филевский парк,Доходы: итого,9.2,income
Филевский парк,Общегосударственные вопросы,5.5,expenses
Филевский парк,"Культура, кинематография",0.1,expenses
Филевский парк,Социальная политика,1.2,expenses
Филевский парк,Средства массовой информации,0.1,expenses
Филевский парк,Расходы: итого,7,expenses
Фили-Давыдково,Налоговые доходы,7,income
Фили-Давыдково,Неналоговые доходы,0.04,income
Фили-Давыдково,Безвозмездные поступления,1.1,income
Фили-Давыдково,Доходы: итого,8.1,income
Фили-Давыдково,Общегосударственные вопросы,7.4,expenses
Фили-Давыдково,"Культура, кинематография",1.2,expenses
Фили-Давыдково,Социальная политика,0.5,expenses
Фили-Давыдково,Средства массовой информации,0.1,expenses
Фили-Давыдково,Расходы: итого,9.2,expenses
Хамовники,Налоговые доходы,8.5,income
Хамовники,Неналоговые доходы,0,income
Хамовники,Безвозмездные поступления,1.7,income
Хамовники,Доходы: итого,10.3,income
Хамовники,Общегосударственные вопросы,6,expenses
Хамовники,Национальная экономика,0,expenses
Хамовники,"Культура, кинематография",0.1,expenses
Хамовники,Социальная политика,1,expenses
Хамовники,Средства массовой информации,0.4,expenses
Хамовники,Расходы: итого,7.5,expenses
Ховрино,Налоговые доходы,7.4,income
Ховрино,Неналоговые доходы,0.04,income
Ховрино,Безвозмездные поступления,20.9,income
Ховрино,Доходы: итого,28.4,income
Ховрино,Общегосударственные вопросы,15.5,expenses
Ховрино,"Культура, кинематография",4.3,expenses
Ховрино,Социальная политика,0.8,expenses
Ховрино,Физическая культура и спорт,3.2,expenses
Ховрино,Средства массовой информации,0.1,expenses
Ховрино,Расходы: итого,23.9,expenses
Хорошево-Мневники,Налоговые доходы,9.5,income
Хорошево-Мневники,Неналоговые доходы,0,income
Хорошево-Мневники,Безвозмездные поступления,1.7,income
Хорошево-Мневники,Доходы: итого,11.2,income
Хорошево-Мневники,Общегосударственные вопросы,8.8,expenses
Хорошево-Мневники,"Культура, кинематография",4.1,expenses
Хорошево-Мневники,Социальная политика,0.9,expenses
Хорошево-Мневники,Средства массовой информации,0.1,expenses
Хорошево-Мневники,Расходы: итого,13.8,expenses
Хорошевский,Налоговые доходы,6.8,income
Хорошевский,Неналоговые доходы,0,income
Хорошевский,Безвозмездные поступления,1.1,income
Хорошевский,Доходы: итого,8,income
Хорошевский,Общегосударственные вопросы,6.5,expenses
Хорошевский,"Культура, кинематография",0.7,expenses
Хорошевский,Социальная политика,0.4,expenses
Хорошевский,Средства массовой информации,0.1,expenses
Хорошевский,Расходы: итого,7.7,expenses
Царицыно,Налоговые доходы,9.3,income
Царицыно,Неналоговые доходы,0,income
Царицыно,Безвозмездные поступления,1.3,income
Царицыно,Доходы: итого,10.6,income
Царицыно,Общегосударственные вопросы,7.2,expenses
Царицыно,"Культура, кинематография",1.8,expenses
Царицыно,Социальная политика,0.4,expenses
Царицыно,Средства массовой информации,0.4,expenses
Царицыно,Расходы: итого,9.7,expenses
Черемушки,Налоговые доходы,8.4,income
Черемушки,Неналоговые доходы,0.2,income
Черемушки,Безвозмездные поступления,1.3,income
Черемушки,Доходы: итого,9.9,income
Черемушки,Общегосударственные вопросы,5.1,expenses
Черемушки,"Культура, кинематография",0.3,expenses
Черемушки,Социальная политика,1,expenses
Черемушки,Средства массовой информации,0,expenses
Черемушки,Расходы: итого,6.4,expenses
Чертаново Северное,Налоговые доходы,8.7,income
Чертаново Северное,Неналоговые доходы,0.05,income
Чертаново Северное,Безвозмездные поступления,1.1,income
Чертаново Северное,Доходы: итого,9.8,income
Чертаново Северное,Общегосударственные вопросы,7.5,expenses
Чертаново Северное,"Культура, кинематография",1.1,expenses
Чертаново Северное,Социальная политика,0.3,expenses
Чертаново Северное,Средства массовой информации,0.4,expenses
Чертаново Северное,Расходы: итого,9.4,expenses
Чертаново Центральное,Налоговые доходы,7.6,income
Чертаново Центральное,Неналоговые доходы,0.07,income
Чертаново Центральное,Безвозмездные поступления,1.2,income
Чертаново Центральное,Доходы: итого,9,income
Чертаново Центральное,Общегосударственные вопросы,5.5,expenses
Чертаново Центральное,"Культура, кинематография",1.8,expenses
Чертаново Центральное,Социальная политика,0.3,expenses
Чертаново Центральное,Средства массовой информации,0.4,expenses
Чертаново Центральное,Расходы: итого,8,expenses
Чертаново Южное,Налоговые доходы,8.1,income
Чертаново Южное,Неналоговые доходы,0,income
Чертаново Южное,Безвозмездные поступления,1.7,income
Чертаново Южное,Доходы: итого,9.8,income
Чертаново Южное,Общегосударственные вопросы,8,expenses
Чертаново Южное,Национальная безопасность и правоохранительная деятельность,0.3,expenses
Чертаново Южное,"Культура, кинематография",1.1,expenses
Чертаново Южное,Социальная политика,0.4,expenses
Чертаново Южное,Средства массовой информации,0.4,expenses
Чертаново Южное,Расходы: итого,10.2,expenses
Щукино,Налоговые доходы,8.1,income
Щукино,Неналоговые доходы,0.3,income
Щукино,Безвозмездные поступления,25.5,income
Щукино,Доходы: итого,33.9,income
Щукино,Общегосударственные вопросы,17.6,expenses
Щукино,Национальная безопасность и правоохранительная деятельность,0,expenses
Щукино,"Культура, кинематография",6.7,expenses
Щукино,Социальная политика,0.7,expenses
Щукино,Физическая культура и спорт,7.3,expenses
Щукино,Средства массовой информации,0.3,expenses
Щукино,Расходы: итого,32.6,expenses
Южное Бутово,Налоговые доходы,9.8,income
Южное Бутово,Неналоговые доходы,0,income
Южное Бутово,Безвозмездные поступления,1.3,income
Южное Бутово,Доходы: итого,11.1,income
Южное Бутово,Общегосударственные вопросы,6.7,expenses
Южное Бутово,"Культура, кинематография",2.3,expenses
Южное Бутово,Социальная политика,0.5,expenses
Южное Бутово,Средства массовой информации,0.1,expenses
Южное Бутово,Расходы: итого,9.6,expenses
Южное Медведково,Налоговые доходы,7.3,income
Южное Медведково,Неналоговые доходы,0,income
Южное Медведково,Безвозмездные поступления,1.2,income
Южное Медведково,Доходы: итого,8.5,income
Южное Медведково,Общегосударственные вопросы,7.3,expenses
Южное Медведково,"Культура, кинематография",1.1,expenses
Южное Медведково,Социальная политика,1,expenses
Южное Медведково,Средства массовой информации,0.1,expenses
Южное Медведково,Расходы: итого,9.5,expenses
Южное Тушино,Налоговые доходы,8.5,income
Южное Тушино,Неналоговые доходы,0.01,income
Южное Тушино,Безвозмездные поступления,1.4,income
Южное Тушино,Доходы: итого,9.9,income
Южное Тушино,Общегосударственные вопросы,7.4,expenses
Южное Тушино,"Культура, кинематография",1.4,expenses
Южное Тушино,Социальная политика,1.4,expenses
Южное Тушино,Средства массовой информации,0.3,expenses
Южное Тушино,Расходы: итого,10.5,expenses
Южнопортовый,Налоговые доходы,6.9,income
Южнопортовый,Неналоговые доходы,0,income
Южнопортовый,Безвозмездные поступления,1.1,income
Южнопортовый,Доходы: итого,8,income
Южнопортовый,Общегосударственные вопросы,6.7,expenses
Южнопортовый,"Культура, кинематография",0.8,expenses
Южнопортовый,Социальная политика,0.9,expenses
Южнопортовый,Средства массовой информации,0.1,expenses
Южнопортовый,Расходы: итого,8.4,expenses
Якиманка,Налоговые доходы,6,income
Якиманка,Неналоговые доходы,0.01,income
Якиманка,Безвозмездные поступления,1.1,income
Якиманка,Доходы: итого,7.1,income
Якиманка,Общегосударственные вопросы,6.7,expenses
Якиманка,"Культура, кинематография",0.1,expenses
Якиманка,Социальная политика,0.8,expenses
Якиманка,Средства массовой информации,0.4,expenses
Якиманка,Расходы: итого,7.9,expenses
Ярославский,Налоговые доходы,7,income
Ярославский,Неналоговые доходы,0,income
Ярославский,Безвозмездные поступления,1.6,income
Ярославский,Доходы: итого,8.6,income
Ярославский,Общегосударственные вопросы,7.1,expenses
Ярославский,"Культура, кинематография",0.3,expenses
Ярославский,Социальная политика,0.4,expenses
Ярославский,Средства массовой информации,0.1,expenses
Ярославский,Расходы: итого,7.9,expenses
Ясенево,Налоговые доходы,9.5,income
Ясенево,Неналоговые доходы,0.5,income
Ясенево,Безвозмездные поступления,1.7,income
Ясенево,Доходы: итого,11.7,income
Ясенево,Общегосударственные вопросы,8.5,expenses
Ясенево,Национальная безопасность и правоохранительная деятельность,0.1,expenses
Ясенево,"Культура, кинематография",1.7,expenses
Ясенево,Социальная политика,0.7,expenses
Ясенево,Средства массовой информации,0.2,expenses
Ясенево,Расходы: итого,11.1,expenses
Городской округ Троицк,Налоговые доходы,499.2,income
Городской округ Троицк,Неналоговые доходы,33.5,income
Городской округ Троицк,Безвозмездные поступления,644.4,income
Городской округ Троицк,Доходы: итого,,income
Городской округ Троицк,Общегосударственные вопросы,96.9,expenses
Городской округ Троицк,Национальная оборона,2.6,expenses
Городской округ Троицк,Национальная безопасность и правоохранительная деятельность,3.1,expenses
Городской округ Троицк,Национальная экономика,70,expenses
Городской округ Троицк,Жилищно-коммунальное хозяйство,70.4,expenses
Городской округ Троицк,Охрана окружающей среды,0.3,expenses
Городской округ Троицк,Образование,695.8,expenses
Городской округ Троицк,"Культура, кинематография",20.2,expenses
Городской округ Троицк,Социальная политика,56.9,expenses
Городской округ Троицк,Физическая культура и спорт,27.6,expenses
Городской округ Троицк,Средства массовой информации,5.6,expenses
Городской округ Троицк,Расходы: итого,,expenses
Городской округ Щербинка,Налоговые доходы,196,income
Городской округ Щербинка,Неналоговые доходы,71.9,income
Городской округ Щербинка,Безвозмездные поступления,5.2,income
Городской округ Щербинка,Доходы: итого,273.1,income
Городской округ Щербинка,Общегосударственные вопросы,70.2,expenses
Городской округ Щербинка,Национальная оборона,1.5,expenses
Городской округ Щербинка,Национальная экономика,17.9,expenses
Городской округ Щербинка,Жилищно-коммунальное хозяйство,64.9,expenses
Городской округ Щербинка,Образование,71.6,expenses
Городской округ Щербинка,"Культура, кинематография",26.2,expenses
Городской округ Щербинка,Социальная политика,1.7,expenses
Городской округ Щербинка,Физическая культура и спорт,0.2,expenses
Городской округ Щербинка,Средства массовой информации,6.4,expenses
Городской округ Щербинка,Расходы: итого,260.8,expenses
"Поселение ""Мосрентген""",Налоговые доходы,198,income
"Поселение ""Мосрентген""",Неналоговые доходы,11.5,income
"Поселение ""Мосрентген""",Безвозмездные поступления,27.9,income
"Поселение ""Мосрентген""",Доходы: итого,237.4,income
"Поселение ""Мосрентген""",Общегосударственные вопросы,49.6,expenses
"Поселение ""Мосрентген""",Национальная оборона,0.4,expenses
"Поселение ""Мосрентген""",Национальная безопасность и правоохранительная деятельность,1.7,expenses
"Поселение ""Мосрентген""",Национальная экономика,12.2,expenses
"Поселение ""Мосрентген""",Жилищно-коммунальное хозяйство,78.8,expenses
"Поселение ""Мосрентген""","Культура, кинематография",16.8,expenses
"Поселение ""Мосрентген""",Социальная политика,2.7,expenses
"Поселение ""Мосрентген""",Физическая культура и спорт,11.4,expenses
"Поселение ""Мосрентген""",Средства массовой информации,0,expenses
"Поселение ""Мосрентген""",Расходы: итого,173.6,expenses
Поселение Внуковское,Налоговые доходы,75,income
Поселение Внуковское,Неналоговые доходы,8.5,income
Поселение Внуковское,Безвозмездные поступления,12.8,income
Поселение Внуковское,Доходы: итого,96.3,income
Поселение Внуковское,Общегосударственные вопросы,80.2,expenses
Поселение Внуковское,Национальная оборона,0.2,expenses
Поселение Внуковское,Национальная безопасность и правоохранительная деятельность,0.4,expenses
Поселение Внуковское,Национальная экономика,11.4,expenses
Поселение Внуковское,Жилищно-коммунальное хозяйство,28.1,expenses
Поселение Внуковское,Образование,0.4,expenses
Поселение Внуковское,"Культура, кинематография",5.6,expenses
Поселение Внуковское,Социальная политика,0.2,expenses
Поселение Внуковское,Физическая культура и спорт,0.6,expenses
Поселение Внуковское,Средства массовой информации,0,expenses
Поселение Внуковское,Расходы: итого,127.1,expenses
Поселение Вороновское,Налоговые доходы,112.6,income
Поселение Вороновское,Неналоговые доходы,3.5,income
Поселение Вороновское,Безвозмездные поступления,2.8,income
Поселение Вороновское,Доходы: итого,118.9,income
Поселение Вороновское,Общегосударственные вопросы,39.6,expenses
Поселение Вороновское,Национальная оборона,0.5,expenses
Поселение Вороновское,Национальная безопасность и правоохранительная деятельность,0.1,expenses
Поселение Вороновское,Национальная экономика,15.9,expenses
Поселение Вороновское,Жилищно-коммунальное хозяйство,34.7,expenses
Поселение Вороновское,Образование,0.1,expenses
Поселение Вороновское,"Культура, кинематография",13.1,expenses
Поселение Вороновское,Социальная политика,0.2,expenses
Поселение Вороновское,Физическая культура и спорт,5.2,expenses
Поселение Вороновское,Средства массовой информации,0,expenses
Поселение Вороновское,Расходы: итого,109.6,expenses
Поселение Воскресенское,Налоговые доходы,49.1,income
Поселение Воскресенское,Неналоговые доходы,9.1,income
Поселение Воскресенское,Безвозмездные поступления,16.9,income
Поселение Воскресенское,Доходы: итого,75.2,income
Поселение Воскресенское,Общегосударственные вопросы,38.2,expenses
Поселение Воскресенское,Национальная оборона,0.2,expenses
Поселение Воскресенское,Национальная безопасность и правоохранительная деятельность,1,expenses
Поселение Воскресенское,Национальная экономика,6.3,expenses
Поселение Воскресенское,Жилищно-коммунальное хозяйство,41.6,expenses
Поселение Воскресенское,Образование,0.7,expenses
Поселение Воскресенское,"Культура, кинематография",17.1,expenses
Поселение Воскресенское,Социальная политика,2.4,expenses
Поселение Воскресенское,Физическая культура и спорт,1,expenses
Поселение Воскресенское,Средства массовой информации,0.2,expenses
Поселение Воскресенское,Расходы: итого,108.7,expenses
